SeqId	SomaId	UNIPROT	Target	TargetFullName	EntrezGeneID	EntrezGeneSymbol	uniprot_gn_id	uniprot_gn_symbol	entrezgene_id	entrezgene_accession	hgnc_id	hgnc_symbol	ensembl_gene_id	external_gene_name	gene_biotype	CHR	START_hg19	END_hg19	strand_hg19	START_hg38	END_hg38	strand_hg38
18407-36	SL021355	Q9Y2Y0	AR2BP	ADP-ribosylation factor-like protein 2-binding protein	23568	ARL2BP	Q9Y2Y0	ARL2BP	23568	ARL2BP	HGNC:17146	ARL2BP	ENSG00000102931	ARL2BP	protein_coding	16	57279038	57287545	+	57245259	57253635	+
18408-26	SL008052	P18085	ARF4	ADP-ribosylation factor 4	378	ARF4	P18085	ARF4	378	ARF4	HGNC:655	ARF4	ENSG00000168374	ARF4	protein_coding	3	57557090	57583215	-	57571363	57597508	-
18409-61	SL008833	P84085	ARF5	ADP-ribosylation factor 5	381	ARF5	P84085	ARF5	381	ARF5	HGNC:658	ARF5	ENSG00000004059	ARF5	protein_coding	7	127228406	127231759	+	127588386	127591700	+
18410-26	SL021353	Q8N4G2	ARL14	ADP-ribosylation factor-like protein 14	80117	ARL14	Q8N4G2	ARL14	80117	ARL14	HGNC:22974	ARL14	ENSG00000179674	ARL14	protein_coding	3	160394948	160396235	+	160677160	160678448	+
18411-83	SL021354	Q9NXU5	ARL15	ADP-ribosylation factor-like protein 15	54622	ARL15	Q9NXU5	ARL15	54622	ARL15	HGNC:25945	ARL15	ENSG00000185305	ARL15	protein_coding	5	53180614	53606403	-	53883942	54310582	-
18413-24	SL014815	P49703	ARL4D	ADP-ribosylation factor-like protein 4D	379	ARL4D	P49703	ARL4D	379	ARL4D	HGNC:656	ARL4D	ENSG00000175906	ARL4D	protein_coding	17	41476353	41478504	+	43398993	43401137	+
18414-26	SL021357	Q9Y689	ARL5A	ADP-ribosylation factor-like protein 5A	26225	ARL5A	Q9Y689	ARL5A	26225	ARL5A	HGNC:696	ARL5A	ENSG00000162980	ARL5A	protein_coding	2	152645592	152685009	-	151789078	151842014	-
18415-16	SL016516	Q9H0F7	ARL6	ADP-ribosylation factor-like protein 6	84100	ARL6	Q9H0F7	ARL6	84100	ARL6	HGNC:13210	ARL6	ENSG00000113966	ARL6	protein_coding	3	97483595	97519953	+	97764521	97801229	+
18416-3	SL021358	Q6T311	ARL9	ADP-ribosylation factor-like protein 9	132946	ARL9	A0A1W2PS79	ARL9	NA	ARL9	HGNC:23592	ARL9	NA	ARL9	protein_coding	4	57371375	57390058	+	56505209	56524959	+
18417-3	SL021359	Q9HBK9	AS3MT	Arsenite methyltransferase	57412	AS3MT	Q9HBK9	AS3MT	57412	AS3MT	HGNC:17452	AS3MT	ENSG00000214435	AS3MT	protein_coding	10	104629210	104661655	+	102869470	102901899	+
18419-20	SL004614	O15511	p16-ARC	Actin-related protein 2/3 complex subunit 5	10092	ARPC5	O15511	ARPC5	10092	ARPC5	HGNC:708	ARPC5	ENSG00000162704	ARPC5	protein_coding	1	183595328	183605076	-	183620846	183635783	-
18422-41	SL013390	P53602	ERG19	Diphosphomevalonate decarboxylase	4597	MVD	P53602	MVD	4597	MVD	HGNC:7529	MVD	ENSG00000167508	MVD	protein_coding	16	88718348	88729495	-	88651935	88663161	-
18429-10	SL000055	P12830	Cadherin E	Cadherin-1	999	CDH1	P12830	CDH1	999	CDH1	HGNC:1748	CDH1	ENSG00000039068	CDH1	protein_coding	16	68771195	68869444	+	68737292	68835537	+
18432-32	SL009211	P11234	RALB	Ras-related protein Ral-B	5899	RALB	P11234	RALB	5899	RALB	HGNC:9840	RALB	ENSG00000144118	RALB	protein_coding	2	120997640	121052286	+	120240064	120294710	+
18434-141	SL021510	P62380	TBPL1	TATA box-binding protein-like protein 1	9519	TBPL1	P62380	TBPL1	9519	TBPL1	HGNC:11589	TBPL1	ENSG00000028839	TBPL1	protein_coding	6	134273308	134308638	+	133952170	133990432	+
18435-40	SL021481	Q14CS0	UBX2B	UBX domain-containing protein 2B	137886	UBXN2B	Q14CS0	UBXN2B	137886	UBXN2B	HGNC:27035	UBXN2B	ENSG00000215114	UBXN2B	protein_coding	8	59323823	59364060	+	58411359	58451501	+
18449-33	SL014928	Q13427	PPIG	Peptidyl-prolyl cis-trans isomerase G	9360	PPIG	Q13427	PPIG	9360	PPIG	HGNC:14650	PPIG	ENSG00000138398	PPIG	protein_coding	2	170440850	170494254	+	169584342	169641406	+
18458-4	SL020905	Q9H7Z7	PGES2	Prostaglandin E synthase 2	80142	PTGES2	Q9H7Z7	PTGES2	80142	PTGES2	HGNC:17822	PTGES2	ENSG00000148334	PTGES2	protein_coding	9	130882972	130890741	-	128120693	128128462	-
18483-36	SL014804	P47224	MSS4	Guanine nucleotide exchange factor MSS4	5877	RABIF	P47224	RABIF	5877	RABIF	HGNC:9797	RABIF	ENSG00000183155	RABIF	protein_coding	1	202847410	202858385	-	202878282	202889149	-
18813-15	SL021131	Q9NUU7	DD19A	ATP-dependent RNA helicase DDX19A	55308	DDX19A	Q9NUU7	DDX19A	55308	DDX19A	HGNC:25628	DDX19A	ENSG00000168872	DDX19A	protein_coding	16	70333062	70407281	+	70299224	70373383	+
18814-21	SL020353	P08476	Activin AC	Inhibin beta A chain:Inhibin beta C chain heterodimer	3624	INHBA	NA	INHBA	3624	INHBA	HGNC:6066	INHBA	ENSG00000122641	INHBA	protein_coding	7	41728601	41742706	-	41667168	41705834	-
18814-21	SL020353	P55103	Activin AC	Inhibin beta A chain:Inhibin beta C chain heterodimer	3624	INHBA	NA	INHBC	3626	INHBC	HGNC:6068	INHBC	ENSG00000175189	INHBC	protein_coding	12	57828543	57844609	+	57434784	57452062	+
18817-50	SL013308	P83916	CBX1	Chromobox protein homolog 1	10951	CBX1	P83916	CBX1	10951	CBX1	HGNC:1551	CBX1	ENSG00000108468	CBX1	protein_coding	17	46147414	46178883	-	48070052	48101478	-
18819-21	SL008612	P45877	PPIC	Peptidyl-prolyl cis-trans isomerase C	5480	PPIC	P45877	PPIC	5480	PPIC	HGNC:9256	PPIC	ENSG00000168938	PPIC	protein_coding	5	122359078	122372425	-	123023250	123036725	-
18821-9	SL000317	P0C0L4	C4a	C4a anaphylatoxin	721	C4B	NA	C4A	720	C4A	HGNC:1323	C4A	ENSG00000244731	C4A	protein_coding	6	31950495	31985206	+	31982057	32002681	+
18821-9	SL000317	P0C0L5	C4a	C4a anaphylatoxin	721	C4B	NA	C4B_2	721	C4B	HGNC:1324	C4B_2	ENSG00000224389	C4B_2	protein_coding	6	NA	NA	NA	32014795	32035418	+
18823-52	SL021204	Q8N257	H2B3B	Histone H2B type 3-B	128312	H2BU1	NA	H2BC26	128312	H2BC26	HGNC:20514	H2BC26	ENSG00000196890	H2BC26	protein_coding	1	228645808	228646259	+	228458103	228463104	+
18824-7	SL021460	Q14240	IF4A2	Eukaryotic initiation factor 4A-II	1974	EIF4A2	Q14240	EIF4A2	1974	EIF4A2	HGNC:3284	EIF4A2	ENSG00000156976	EIF4A2	protein_coding	3	186501361	186507685	+	186783205	186789897	+
18829-4	SL008140	P60842	IF4A1	Eukaryotic initiation factor 4A-I	1973	EIF4A1	P60842	EIF4A1	1973	EIF4A1	HGNC:3282	EIF4A1	ENSG00000161960	EIF4A1	protein_coding	17	NA	NA	NA	7572825	7582024	+
18830-1	SL011968	Q8WWA0	Omentin	Intelectin-1	55600	ITLN1	Q8WWA0	ITLN1	55600	ITLN1	HGNC:18259	ITLN1	ENSG00000179914	ITLN1	protein_coding	1	160846330	160854960	-	160876540	160885180	-
18831-6	SL004425	Q96JA1	LRIG1	Leucine-rich repeats and immunoglobulin-like domains protein 1	26018	LRIG1	Q96JA1	LRIG1	26018	LRIG1	HGNC:17360	LRIG1	ENSG00000144749	LRIG1	protein_coding	3	66429221	66550845	-	66378797	66501263	-
18832-65	SL021544	P0DJI9	SAA2	Serum amyloid A-2 protein	6289	SAA2	P0DJI9	SAA2	6289	SAA2	HGNC:10514	SAA2	ENSG00000134339	SAA2	protein_coding	11	18259780	18270221	-	18239223	18248668	-
18833-76	SL011227	Q15121	PEA15	Astrocytic phosphoprotein PEA-15	8682	PEA15	Q15121	PEA15	8682	PEA15	HGNC:8822	PEA15	ENSG00000162734	PEA15	protein_coding	1	160175125	160185162	+	160205380	160215376	+
18837-9	SL021504	Q96EQ0	SGTB	Small glutamine-rich tetratricopeptide repeat-containing protein beta	54557	SGTB	Q96EQ0	SGTB	54557	SGTB	HGNC:23567	SGTB	ENSG00000197860	SGTB	protein_coding	5	64961755	65017941	-	65665928	65723035	-
18839-24	SL000587	P01266	Thyroglobulin	Thyroglobulin	7038	TG	P01266	TG	7038	TG	HGNC:11764	TG	ENSG00000042832	TG	protein_coding	8	133879205	134147143	+	132866958	133134903	+
18840-205	SL021503	O14796	SH21B	SH2 domain-containing protein 1B	117157	SH2D1B	O14796	SH2D1B	117157	SH2D1B	HGNC:30416	SH2D1B	ENSG00000198574	SH2D1B	protein_coding	1	162365056	162381928	-	162395268	162412138	-
18841-1	SL008432	Q9UIV8	SPB13	Serpin B13	5275	SERPINB13	Q9UIV8	SERPINB13	5275	SERPINB13	HGNC:8944	SERPINB13	ENSG00000197641	SERPINB13	protein_coding	18	61254534	61266433	+	63586989	63604639	+
18842-24	SL014870	P62837	UB2D2	Ubiquitin-conjugating enzyme E2 D2	7322	UBE2D2	P62837	UBE2D2	7322	UBE2D2	HGNC:12475	UBE2D2	ENSG00000131508	UBE2D2	protein_coding	5	138940751	139008018	+	139526431	139628434	+
18859-7	SL021123	O60516	4EBP3	Eukaryotic translation initiation factor 4E-binding protein 3	8637	EIF4EBP3	O60516	EIF4EBP3	8637	EIF4EBP3	HGNC:3290	EIF4EBP3	ENSG00000243056	EIF4EBP3	protein_coding	5	139927251	139929163	+	140547662	140549576	+
18860-2	SL004938	Q8N5S9	CaMKK alpha	Calcium/calmodulin-dependent protein kinase kinase 1	84254	CAMKK1	Q8N5S9	CAMKK1	84254	CAMKK1	HGNC:1469	CAMKK1	ENSG00000004660	CAMKK1	protein_coding	17	3763617	3796337	-	3860315	3894891	-
18863-176	SL013988	Q9Y4C5	CHST2	Carbohydrate sulfotransferase 2	9435	CHST2	Q9Y4C5	CHST2	9435	CHST2	HGNC:1970	CHST2	ENSG00000175040	CHST2	protein_coding	3	142838618	142842856	+	143119771	143124014	+
18864-7	SL006480	P35030	TRY3	Trypsin-3	5646	PRSS3	A0A7P0MNE9	PRSS3	NA	PRSS3	HGNC:9486	PRSS3	NA	PRSS3	protein_coding	9	33750464	33799229	+	33750679	33799231	+
18866-8	SL021140	Q96LZ3	CANB2	Calcineurin subunit B type 2	5535	PPP3R2	Q96LZ3	PPP3R2	5535	PPP3R2	HGNC:9318	PPP3R2	ENSG00000188386	PPP3R2	protein_coding	9	104353897	104357283	-	101591604	101594969	-
18868-7	SL004001	Q13185	CBX3	Chromobox protein homolog 3	11335	CBX3	Q13185	CBX3	11335	CBX3	HGNC:1553	CBX3	ENSG00000122565	CBX3	protein_coding	7	26240831	26253227	+	26201162	26213607	+
18870-1	SL007084	P07766	CD3E	T-cell surface glycoprotein CD3 epsilon chain	916	CD3E	P07766	CD3E	916	CD3E	HGNC:1674	CD3E	ENSG00000198851	CD3E	protein_coding	11	118175295	118186890	+	118304730	118316175	+
18871-24	SL020884	Q9BQI0	AIF1L	Allograft inflammatory factor 1-like	83543	AIF1L	Q9BQI0	AIF1L	83543	AIF1L	HGNC:28904	AIF1L	ENSG00000126878	AIF1L	protein_coding	9	133971863	133998539	+	131096476	131123152	+
18873-8	SL008523	P31997	CEAM8	Carcinoembryonic antigen-related cell adhesion molecule 8	1088	CEACAM8	P31997	CEACAM8	1088	CEACAM8	HGNC:1820	CEACAM8	ENSG00000124469	CEACAM8	protein_coding	19	43084395	43099082	-	42580243	42595055	-
18874-66	SL007254	P49715	CEBPA	CCAAT/enhancer-binding protein alpha	1050	CEBPA	P49715	CEBPA	1050	CEBPA	HGNC:1833	CEBPA	ENSG00000245848	CEBPA	protein_coding	19	33790840	33793430	-	33299934	33302534	-
18875-125	SL021010	P02458	Chondrocalcin	Chondrocalcin	1280	COL2A1	P02458	COL2A1	1280	COL2A1	HGNC:2200	COL2A1	ENSG00000139219	COL2A1	protein_coding	12	48366748	48398285	-	47972967	48011227	-
18876-77	SL021174	Q8NCG5	CHST4	Carbohydrate sulfotransferase 4	10164	CHST4	Q8NCG5	CHST4	10164	CHST4	HGNC:1972	CHST4	ENSG00000140835	CHST4	protein_coding	16	71560023	71572493	+	71525233	71538748	+
18877-15	SL008285	Q99439	CNN2	Calponin-2	1265	CNN2	Q99439	CNN2	1265	CNN2	HGNC:2156	CNN2	ENSG00000064666	CNN2	protein_coding	19	1026298	1039064	+	1026586	1039068	+
18878-15	SL007024	O60565	GREM1	Gremlin-1	26585	GREM1	O60565	GREM1	26585	GREM1	HGNC:2001	GREM1	ENSG00000166923	GREM1	protein_coding	15	33010205	33026870	+	32718004	32745106	+
18880-81	SL002805	P02461	Collagen Type III	Collagen Type III	1281	COL3A1	P02461	COL3A1	1281	COL3A1	HGNC:2201	COL3A1	ENSG00000168542	COL3A1	protein_coding	2	189839099	189877472	+	188974373	189012746	+
18881-7	SL004726	P48960	CD97	CD97 antigen	976	ADGRE5	P48960	ADGRE5	976	ADGRE5	HGNC:1711	ADGRE5	ENSG00000123146	ADGRE5	protein_coding	19	14491956	14519537	+	14380501	14408725	+
18882-7	SL021519	Q9H4D0	CSTN2	Calsyntenin-2	64084	CLSTN2	Q9H4D0	CLSTN2	64084	CLSTN2	HGNC:17448	CLSTN2	ENSG00000158258	CLSTN2	protein_coding	3	139654027	140286919	+	139935185	140577397	+
18883-4	SL008142	P60981	DEST	Destrin	11034	DSTN	P60981	DSTN	11034	DSTN	HGNC:15750	DSTN	ENSG00000125868	DSTN	protein_coding	20	17550599	17588652	+	17570075	17609919	+
18884-22	SL021230	Q9UDY4	DNJB4	DnaJ homolog subfamily B member 4	11080	DNAJB4	Q9UDY4	DNAJB4	11080	DNAJB4	HGNC:14886	DNAJB4	ENSG00000162616	DNAJB4	protein_coding	1	78444934	78482995	+	77979175	78017964	+
18886-28	SL006667	Q8TD84	DSCL1	Down syndrome cell adhesion molecule-like protein 1	57453	DSCAML1	Q8TD84	DSCAML1	57453	DSCAML1	HGNC:14656	DSCAML1	ENSG00000177103	DSCAML1	protein_coding	11	117298489	117688240	-	117427772	117817525	-
18887-18	SL015373	Q9Y5L3	ENTP2	Ectonucleoside triphosphate diphosphohydrolase 2	954	ENTPD2	Q9Y5L3	ENTPD2	954	ENTPD2	HGNC:3364	ENTPD2	ENSG00000054179	ENTPD2	protein_coding	9	139942551	139948503	-	137048107	137054061	-
18887-7	SL015373	Q9Y5L3	ENTP2	Ectonucleoside triphosphate diphosphohydrolase 2	954	ENTPD2	Q9Y5L3	ENTPD2	954	ENTPD2	HGNC:3364	ENTPD2	ENSG00000054179	ENTPD2	protein_coding	9	139942551	139948503	-	137048107	137054061	-
18888-37	SL021138	A6NFH5	FBP12	Fatty acid-binding protein 12	646486	FABP12	A6NFH5	FABP12	646486	FABP12	HGNC:34524	FABP12	ENSG00000197416	FABP12	protein_coding	8	82437281	82443550	-	81524981	81590139	-
18890-227	SL006118	P02675	Fibrinogen B	Fibrinogen beta chain	2244	FGB	P02675	FGB	2244	FGB	HGNC:3662	FGB	ENSG00000171564	FGB	protein_coding	4	155484132	155493915	+	154563011	154572807	+
18891-98	SL014773	P32456	GBP2	Guanylate-binding protein 2	2634	GBP2	P32456	GBP2	2634	GBP2	HGNC:4183	GBP2	ENSG00000162645	GBP2	protein_coding	1	89571843	89616258	-	89106132	89150456	-
18892-48	SL008883	O75487	GPC4	Glypican-4	2239	GPC4	O75487	GPC4	2239	GPC4	HGNC:4452	GPC4	ENSG00000076716	GPC4	protein_coding	X	132435064	132549205	-	133300103	133415489	-
18893-26	SL009016	Q9Y653	GPR56	Adhesion G-protein coupled receptor G1	9289	ADGRG1	Q9Y653	ADGRG1	9289	ADGRG1	HGNC:4512	ADGRG1	ENSG00000205336	ADGRG1	protein_coding	16	57653650	57698944	+	57610652	57665580	+
18894-1	SL007141	P18283	GPX2	Glutathione peroxidase 2	2877	GPX2	H0YJK8	GPX2	NA	GPX2	HGNC:4554	GPX2	NA	GPX2	protein_coding	14	65405870	65409623	-	64939152	64942746	-
18895-54	SL014901	Q03013	GSTM4	Glutathione S-transferase Mu 4	2948	GSTM4	Q03013	GSTM4	2948	GSTM4	HGNC:4636	GSTM4	ENSG00000168765	GSTM4	protein_coding	1	110198698	110208123	+	109656099	109665496	+
18896-23	SL021212	Q8IZP7	H6ST3	Heparan-sulfate 6-O-sulfotransferase 3	266722	HS6ST3	Q8IZP7	HS6ST3	266722	HS6ST3	HGNC:19134	HS6ST3	ENSG00000185352	HS6ST3	protein_coding	13	96743093	97491816	+	96090107	96839562	+
18897-31	SL007577	Q92769	HDAC2	Histone deacetylase 2	3066	HDAC2	Q92769	HDAC2	3066	HDAC2	HGNC:4853	HDAC2	ENSG00000196591	HDAC2	protein_coding	6	114257320	114292359	-	113933028	114011308	-
18898-36	SL021221	Q5TGJ6	HDGL1	Hepatoma-derived growth factor-like protein 1	154150	HDGFL1	Q5TGJ6	HDGFL1	154150	HDGFL1	HGNC:21095	HDGFL1	ENSG00000112273	HDGFL1	protein_coding	6	22569678	22570750	+	22569566	22571666	+
18899-82	SL021461	Q9Y3E1	HDGR3	Hepatoma-derived growth factor-related protein 3	50810	HDGFL3	Q9Y3E1	HDGFL3	50810	HDGFL3	HGNC:24937	HDGFL3	ENSG00000166503	HDGFL3	protein_coding	15	83806804	83876770	-	83112738	83207875	-
18900-37	SL000447	P01112	H-ras (WT)	GTPase HRas	3265	HRAS	P01112	HRAS	3265	HRAS	HGNC:5173	HRAS	ENSG00000174775	HRAS	protein_coding	11	532242	535550	-	532242	537321	-
18901-26	SL021233	P0DMV9	HS71B	Heat shock 70 kDa protein 1B	3304	HSPA1B	P0DMV9	HSPA1B	3304	HSPA1B	HGNC:5233	HSPA1B	ENSG00000204388	HSPA1B	protein_coding	6	31795512	31798031	+	31827738	31830254	+
18904-23	SL021171	Q16566	KCC4	Calcium/calmodulin-dependent protein kinase type IV	814	CAMK4	Q16566	CAMK4	814	CAMK4	HGNC:1464	CAMK4	ENSG00000152495	CAMK4	protein_coding	5	110559947	110820748	+	111223653	111494886	+
18905-5	SL005387	P08779	Keratin-16	Keratin, type I cytoskeletal 16	3868	KRT16	P08779	KRT16	3868	KRT16	HGNC:6423	KRT16	ENSG00000186832	KRT16	protein_coding	17	39766031	39769079	-	41609778	41612899	-
18907-97	SL007235	P43629	KI3L1	Killer cell immunoglobulin-like receptor 3DL1	3811	KIR3DL1	P43629	KIR3DL1	3811	KIR3DL1	HGNC:6338	KIR3DL1	ENSG00000167633	KIR3DL1	protein_coding	19	55297774	55378670	+	54816468	54830778	+
18909-11	SL019371	Q96B26	EXOS8	Exosome complex component RRP43	11340	EXOSC8	Q96B26	EXOSC8	11340	EXOSC8	HGNC:17035	EXOSC8	ENSG00000120699	EXOSC8	protein_coding	13	37574678	37583751	+	36998816	37025881	+
18910-45	SL021281	O14910	LIN7A	Protein lin-7 homolog A	8825	LIN7A	O14910	LIN7A	8825	LIN7A	HGNC:17787	LIN7A	ENSG00000111052	LIN7A	protein_coding	12	81191171	81331694	-	80792520	80937934	-
18913-3	SL000391	P51946	Cyclin H	Cyclin-H	902	CCNH	P51946	CCNH	902	CCNH	HGNC:1594	CCNH	ENSG00000134480	CCNH	protein_coding	5	86687311	86708850	-	87318416	87413029	-
18914-188	SL017168	Q99487	PAFA2	Platelet-activating factor acetylhydrolase 2, cytoplasmic	5051	PAFAH2	Q99487	PAFAH2	5051	PAFAH2	HGNC:8579	PAFAH2	ENSG00000158006	PAFAH2	protein_coding	1	26286258	26324648	-	25959767	25998117	-
18916-25	SL004707	Q9BY32	Inosine triphosphatase	Inosine triphosphate pyrophosphatase	3704	ITPA	Q9BY32	ITPA	3704	ITPA	HGNC:6176	ITPA	ENSG00000125877	ITPA	protein_coding	20	3189514	3204516	+	3208868	3223870	+
18917-53	SL005382	P04746	Pancreatic alpha-amylase	Pancreatic alpha-amylase	279	AMY2A	P04746	AMY2A	279	AMY2A	HGNC:477	AMY2A	ENSG00000243480	AMY2A	protein_coding	1	104159999	104168400	+	103617427	103625780	+
18918-86	SL011402	P27815	PDE4A	cAMP-specific 3',5'-cyclic phosphodiesterase 4A	5141	PDE4A	P27815	PDE4A	5141	PDE4A	HGNC:8780	PDE4A	ENSG00000065989	PDE4A	protein_coding	19	10527449	10580307	+	10416773	10469630	+
18921-30	SL007331	P78562	PHEX	Phosphate-regulating neutral endopeptidase	5251	PHEX	P78562	PHEX	5251	PHEX	HGNC:8918	PHEX	ENSG00000102174	PHEX	protein_coding	X	22050921	22266478	+	22032325	22431605	+
18922-27	SL007199	P34810	CD68	Macrosialin	968	CD68	P34810	CD68	968	CD68	HGNC:1693	CD68	ENSG00000129226	CD68	protein_coding	17	7482805	7485429	+	7579491	7582111	+
18925-24	SL005690	P28066	Proteasome subunit alpha type 5	Proteasome subunit alpha type-5	5686	PSMA5	P28066	PSMA5	5686	PSMA5	HGNC:9534	PSMA5	ENSG00000143106	PSMA5	protein_coding	1	109941653	109969108	-	109399042	109426448	-
18926-7	SL008802	P25788	PSA3	Proteasome subunit alpha type-3	5684	PSMA3	P25788	PSMA3	5684	PSMA3	HGNC:9532	PSMA3	ENSG00000100567	PSMA3	protein_coding	14	58711523	58738727	+	58244843	58272012	+
18927-14	SL012569	Q6H3X3	RET1G	Retinoic acid early transcript 1G protein	353091	RAET1G	Q6H3X3	RAET1G	353091	RAET1G	HGNC:16795	RAET1G	ENSG00000203722	RAET1G	protein_coding	6	150238014	150244214	-	149916878	149923121	-
18928-10	SL021527	Q8WXG8	S100Z	Protein S100-Z	170591	S100Z	Q8WXG8	S100Z	170591	S100Z	HGNC:30367	S100Z	ENSG00000171643	S100Z	protein_coding	5	76145826	76217056	+	76850001	76921650	+
18930-28	SL008427	O94813	SLIT2	Slit homolog 2 protein	9353	SLIT2	O94813	SLIT2	9353	SLIT2	HGNC:11086	SLIT2	ENSG00000145147	SLIT2	protein_coding	4	20255235	20620788	+	20251905	20620561	+
18931-40	SL011409	O75094	SLIT3	Slit homolog 3 protein	6586	SLIT3	O75094	SLIT3	6586	SLIT3	HGNC:11087	SLIT3	ENSG00000184347	SLIT3	protein_coding	5	168088738	168728133	-	168661740	169301139	-
18932-84	SL020267	Q9HAN9	NMNA1	Nicotinamide/nicotinic acid mononucleotide adenylyltransferase 1	64802	NMNAT1	Q9HAN9	NMNAT1	64802	NMNAT1	HGNC:17877	NMNAT1	ENSG00000173614	NMNAT1	protein_coding	1	10003486	10045556	+	9942923	9985501	+
18933-4	SL013786	P49221	TGM4	Protein-glutamine gamma-glutamyltransferase 4	7047	TGM4	P49221	TGM4	7047	TGM4	HGNC:11780	TGM4	ENSG00000163810	TGM4	protein_coding	3	44916098	44956088	+	44874608	44914990	+
18934-50	SL004717	P21980	Tissue transglutaminase	Protein-glutamine gamma-glutamyltransferase 2	7052	TGM2	P21980	TGM2	7052	TGM2	HGNC:11778	TGM2	ENSG00000198959	TGM2	protein_coding	20	36756864	36793700	-	38127385	38166578	-
18935-14	SL004493	O60602	TLR5	Toll-like receptor 5	7100	TLR5	O60602	TLR5	7100	TLR5	HGNC:11851	TLR5	ENSG00000187554	TLR5	protein_coding	1	223282748	223316624	-	223109404	223143292	-
18938-3	SL021274	P98155	VLDLR	Very low-density lipoprotein receptor	7436	VLDLR	P98155	VLDLR	7436	VLDLR	HGNC:12698	VLDLR	ENSG00000147852	VLDLR	protein_coding	9	2621793	2654485	+	2621182	2660056	+
18942-11	SL016413	P28065	PSB9	Proteasome subunit beta type-9	5698	PSMB9	P28065	PSMB9	5698	PSMB9	HGNC:9546	PSMB9	ENSG00000240065	PSMB9	protein_coding	6	32821938	32827628	+	32844136	32859851	+
18943-4	SL020290	Q8N8N7	PTGR2	Prostaglandin reductase 2	145482	PTGR2	Q8N8N7	PTGR2	145482	PTGR2	HGNC:20149	PTGR2	ENSG00000140043	PTGR2	protein_coding	14	74318534	74352168	+	73851831	73885726	+
18945-11	SL005113	Q08116	RGS1	Regulator of G-protein signaling 1	5996	RGS1	Q08116	RGS1	5996	RGS1	HGNC:9991	RGS1	ENSG00000090104	RGS1	protein_coding	1	192544857	192549159	+	192575763	192580024	+
18947-3	SL017499	Q96PB8	LRC3B	Leucine-rich repeat-containing protein 3B	116135	LRRC3B	Q96PB8	LRRC3B	116135	LRRC3B	HGNC:28105	LRRC3B	ENSG00000179796	LRRC3B	protein_coding	3	26664300	26752265	+	26622772	26717537	+
18950-13	SL007124	P15153	RAC2	Ras-related C3 botulinum toxin substrate 2	5880	RAC2	P15153	RAC2	5880	RAC2	HGNC:9802	RAC2	ENSG00000128340	RAC2	protein_coding	22	37621310	37640305	-	37225270	37259594	-
19108-50	SL013794	P51608	MECP2	Methyl-CpG-binding protein 2	4204	MECP2	P51608	MECP2	4204	MECP2	HGNC:6990	MECP2	ENSG00000169057	MECP2	protein_coding	X	153287264	153363188	-	154021573	154137103	-
19109-32	SL006632	Q8IYN2	TCAL8	Transcription elongation factor A protein-like 8	90843	TCEAL8	Q8IYN2	TCEAL8	90843	TCEAL8	HGNC:28683	TCEAL8	ENSG00000180964	TCEAL8	protein_coding	X	102507923	102510121	-	103252995	103255192	-
19110-6	SL010947	Q9Y316	MEMO1	Protein MEMO1	51072	MEMO1	Q9Y316	MEMO1	51072	MEMO1	HGNC:14014	MEMO1	ENSG00000162959	MEMO1	protein_coding	2	32092894	32264862	-	31865060	32023757	-
19111-10	SL013053	P61081	UBC12	NEDD8-conjugating enzyme Ubc12	9040	UBE2M	P61081	UBE2M	9040	UBE2M	HGNC:12491	UBE2M	ENSG00000130725	UBE2M	protein_coding	19	59067079	59070343	-	58555712	58558954	-
19112-2	SL013231	Q969E4	TCAL3	Transcription elongation factor A protein-like 3	85012	TCEAL3	Q969E4	TCEAL3	85012	TCEAL3	HGNC:28247	TCEAL3	ENSG00000196507	TCEAL3	protein_coding	X	102862834	102864855	+	103607451	103629690	+
19113-66	SL009024	Q9UJC5	SH3L2	SH3 domain-binding glutamic acid-rich-like protein 2	83699	SH3BGRL2	Q9UJC5	SH3BGRL2	83699	SH3BGRL2	HGNC:15567	SH3BGRL2	ENSG00000198478	SH3BGRL2	protein_coding	6	80341000	80413369	+	79537540	79703655	+
19114-8	SL014563	O00142	KITM	Thymidine kinase 2, mitochondrial	7084	TK2	O00142	TK2	7084	TK2	HGNC:11831	TK2	ENSG00000166548	TK2	protein_coding	16	66503747	66584315	-	66481175	66552544	-
19115-13	SL015135	Q96DG6	CMBL	Carboxymethylenebutenolidase homolog	134147	CMBL	Q96DG6	CMBL	134147	CMBL	HGNC:25090	CMBL	ENSG00000164237	CMBL	protein_coding	5	10277707	10308168	-	10275875	10307902	-
19116-1	SL006668	Q8TDH9	MUTED	Biogenesis of lysosome-related organelles complex 1 subunit 5	63915	BLOC1S5	Q8TDH9	BLOC1S5	63915	BLOC1S5	HGNC:18561	BLOC1S5	ENSG00000188428	BLOC1S5	protein_coding	6	8013800	8064647	-	8013567	8064396	-
19117-3	SL015127	Q96A00	PP14A	Protein phosphatase 1 regulatory subunit 14A	94274	PPP1R14A	Q96A00	PPP1R14A	94274	PPP1R14A	HGNC:14871	PPP1R14A	ENSG00000167641	PPP1R14A	protein_coding	19	38741877	38747231	-	38251237	38256532	-
