UNIPROT	Target	TargetFullName	uniprot_gn_id	uniprot_gn_symbol	entrezgene_id	entrezgene_accession	hgnc_id	hgnc_symbol	ensembl_gene_id	external_gene_name	gene_biotype	CHR	START_hg19	END_hg19	strand_hg19	START_hg38	END_hg38	strand_hg38
P08603	CFH	Complement factor H	A0A8Q3SI76	CFH	3075	CFH	HGNC:4883	NA	NA	CFH	protein_coding	1	196621008	196716634	+	196651754	196795393	+
P08637	FCGR3B	Low affinity immunoglobulin gamma Fc region receptor III-A/B	NA	FCGR3A	2214	FCGR3A	HGNC:3619	FCGR3A	ENSG00000203747	FCGR3A	protein_coding	1	161511551	161520413	-	161541759	161631456	-
P08648	ITGA5	Integrin alpha-5	P08648	ITGA5	3678	ITGA5	HGNC:6141	ITGA5	ENSG00000161638	ITGA5	protein_coding	12	54789045	54813050	-	54395261	54419266	-
P08651	NFIC	Nuclear factor 1 C-type	P08651	NFIC	4782	NFIC	HGNC:7786	NFIC	ENSG00000141905	NFIC	protein_coding	19	3359561	3469215	+	3314403	3469217	+
P08670	VIM	Vimentin	P08670	VIM	7431	VIM	HGNC:12692	VIM	ENSG00000026025	VIM	protein_coding	10	17270258	17279592	+	17228241	17237593	+
P08684	CYP3A4	Cytochrome P450 3A4	P08684	CYP3A4	1576	CYP3A4	HGNC:2637	CYP3A4	ENSG00000160868	CYP3A4	protein_coding	7	99354583	99381811	-	99756960	99784248	-
P08697	SERPINF2	Alpha-2-antiplasmin	P08697	SERPINF2	5345	SERPINF2	HGNC:9075	SERPINF2	ENSG00000167711	SERPINF2	protein_coding	17	1646130	1658559	+	1742836	1755265	+
P08700	IL3	Interleukin-3	P08700	IL3	3562	IL3	HGNC:6011	IL3	ENSG00000164399	IL3	protein_coding	5	131396347	131398896	+	132060655	132063204	+
P08709	F7	Coagulation factor VII	P08709	F7	2155	F7	HGNC:3544	F7	ENSG00000057593	F7	protein_coding	13	113760102	113774995	+	113105788	113120685	+
P08727	KRT19	Keratin, type I cytoskeletal 19	P08727	KRT19	3880	KRT19	HGNC:6436	KRT19	ENSG00000171345	KRT19	protein_coding	17	39679869	39684641	-	41523617	41528308	-
P08758	ANXA5	Annexin A5	P08758	ANXA5	308	ANXA5	HGNC:543	ANXA5	ENSG00000164111	ANXA5	protein_coding	4	122589152	122618147	-	121667946	121696995	-
P08833	IGFBP1	Insulin-like growth factor-binding protein 1	P08833	IGFBP1	3484	IGFBP1	HGNC:5469	IGFBP1	ENSG00000146678	IGFBP1	protein_coding	7	45927959	45933267	+	45888360	45893660	+
P08887	IL6R	Interleukin-6 receptor subunit alpha	P08887	IL6R	3570	IL6R	HGNC:6019	IL6R	ENSG00000160712	IL6R	protein_coding	1	154377669	154441926	+	154405193	154469450	+
P08908	HTR1A	5-hydroxytryptamine receptor 1A	P08908	HTR1A	3350	HTR1A	HGNC:5286	HTR1A	ENSG00000178394	HTR1A	protein_coding	5	63255875	63258119	-	63957874	63962445	-
P08913	ADRA2A	Alpha-2A adrenergic receptor	P08913	ADRA2A	150	ADRA2A	HGNC:281	ADRA2A	ENSG00000150594	ADRA2A	protein_coding	10	112836790	112840662	+	111077029	111080907	+
P08962	CD63	CD63 antigen	P08962	CD63	967	CD63	HGNC:1692	CD63	ENSG00000135404	CD63	protein_coding	12	56119227	56123457	-	55725323	55729707	-
P09038	FGF2	Fibroblast growth factor 2	P09038	FGF2	2247	FGF2	HGNC:3676	FGF2	ENSG00000138685	FGF2	protein_coding	4	123747863	123819390	+	122826682	122898236	+
P09093	CELA3A	Chymotrypsin-like elastase family member 3A	P09093	CELA3A	10136	CELA3A	HGNC:15944	CELA3A	ENSG00000142789	CELA3A	protein_coding	1	22328149	22339035	+	21983606	22030617	+
P09104	ENO2	Gamma-enolase	P09104	ENO2	2026	ENO2	HGNC:3353	ENO2	ENSG00000111674	ENO2	protein_coding	12	7023614	7032859	+	6913745	6923698	+
P09105	HBQ1	Hemoglobin subunit theta-1	P09105	HBQ1	3049	HBQ1	HGNC:4833	HBQ1	ENSG00000086506	HBQ1	protein_coding	16	230333	231178	+	180459	181179	+
P09110	ACAA1	3-ketoacyl-CoA thiolase, peroxisomal	P09110	ACAA1	30	ACAA1	HGNC:82	ACAA1	ENSG00000060971	ACAA1	protein_coding	3	38164201	38178733	-	38122710	38137242	-
P09172	DBH	Dopamine beta-hydroxylase	P09172	DBH	1621	DBH	HGNC:2689	DBH	ENSG00000123454	DBH	protein_coding	9	136501485	136524466	+	133636363	133659329	+
P09211	GSTP1	Glutathione S-transferase P	P09211	GSTP1	2950	GSTP1	HGNC:4638	GSTP1	ENSG00000084207	GSTP1	protein_coding	11	67351066	67354124	+	67583742	67586656	+
P09237	MMP7	Matrilysin	P09237	MMP7	4316	MMP7	HGNC:7174	MMP7	ENSG00000137673	MMP7	protein_coding	11	102391239	102401478	-	102520508	102530750	-
P09238	MMP10	Stromelysin-2	P09238	MMP10	4319	MMP10	HGNC:7156	MMP10	ENSG00000166670	MMP10	protein_coding	11	102641233	102651359	-	102770502	102780628	-
P09326	CD48	CD48 antigen	P09326	CD48	962	CD48	HGNC:1683	CD48	ENSG00000117091	CD48	protein_coding	1	160648536	160681641	-	160678746	160711831	-
P09327	VIL1	Villin-1	P09327	VIL1	7429	VIL1	HGNC:12690	VIL1	ENSG00000127831	VIL1	protein_coding	2	219283838	219314248	+	218419121	218453295	+
P09341	CXCL1	Growth-regulated alpha protein	P09341	CXCL1	2919	CXCL1	HGNC:4602	CXCL1	ENSG00000163739	CXCL1	protein_coding	4	74735109	74737019	+	73869393	73871308	+
P09382	LGALS1	Galectin-1	P09382	LGALS1	3956	LGALS1	HGNC:6561	LGALS1	ENSG00000100097	LGALS1	protein_coding	22	38071613	38075809	+	37675636	37679802	+
P09417	QDPR	Dihydropteridine reductase	P09417	QDPR	5860	QDPR	HGNC:9752	QDPR	ENSG00000151552	QDPR	protein_coding	4	17461884	17513857	-	17460261	17512206	-
P09455	RBP1	Retinol-binding protein 1	P09455	RBP1	5947	RBP1	HGNC:9919	RBP1	ENSG00000114115	RBP1	protein_coding	3	139236276	139258671	-	139517434	139539829	-
P09466	PAEP	Glycodelin	P09466	PAEP	5047	PAEP	HGNC:8573	PAEP	ENSG00000122133	PAEP	protein_coding	9	138453604	138458622	+	135561756	135566955	+
P09467	FBP1	Fructose-1,6-bisphosphatase 1	P09467	FBP1	2203	FBP1	HGNC:3606	FBP1	ENSG00000165140	FBP1	protein_coding	9	97365421	97402531	-	94603133	94640249	-
P09486	SPARC	SPARC	P09486	SPARC	6678	SPARC	HGNC:11219	SPARC	ENSG00000113140	SPARC	protein_coding	5	151040657	151066615	-	151661096	151686975	-
P09496	CLTA	Clathrin light chain A	P09496	CLTA	1211	CLTA	HGNC:2090	CLTA	ENSG00000122705	CLTA	protein_coding	9	36190853	36212059	+	36190856	36304781	+
P09497	CLTB	Clathrin light chain B	P09497	CLTB	1212	CLTB	HGNC:2091	CLTB	ENSG00000175416	CLTB	protein_coding	5	175819456	175843570	-	176392501	176416539	-
P09525	ANXA4	Annexin A4	Q6P452	ANXA4	307	ANXA4	HGNC:542	NA	NA	ANXA4	protein_coding	2	69969127	70053596	+	69644425	69827112	+
P09529	INHBB	Inhibin beta B chain	P09529	INHBB	3625	INHBB	HGNC:6067	INHBB	ENSG00000163083	INHBB	protein_coding	2	121103719	121109383	+	120346136	120351803	+
P09543	CNP	2',3'-cyclic-nucleotide 3'-phosphodiesterase	P09543	CNP	1267	CNP	HGNC:2158	CNP	ENSG00000173786	CNP	protein_coding	17	40118759	40129754	+	41966763	41977740	+
P09564	CD7	T-cell antigen CD7	P09564	CD7	924	CD7	HGNC:1695	CD7	ENSG00000173762	CD7	protein_coding	17	80272746	80275480	-	82314868	82317608	-
P09601	HMOX1	Heme oxygenase 1	P09601	HMOX1	3162	HMOX1	HGNC:5013	HMOX1	ENSG00000100292	HMOX1	protein_coding	22	35777060	35790207	+	35380361	35394214	+
P09603	CSF1	Macrophage colony-stimulating factor 1	P09603	CSF1	1435	CSF1	HGNC:2432	CSF1	ENSG00000184371	CSF1	protein_coding	1	110453233	110473616	+	109910242	109930992	+
P09619	PDGFRB	Platelet-derived growth factor receptor beta	P09619	PDGFRB	5159	PDGFRB	HGNC:8804	PDGFRB	ENSG00000113721	PDGFRB	protein_coding	5	149493402	149535422	-	150113839	150155872	-
P09668	CTSH	Pro-cathepsin H	P09668	CTSH	1512	CTSH	HGNC:2535	CTSH	ENSG00000103811	CTSH	protein_coding	15	79214092	79237420	-	78921058	78949574	-
P09681	GIP	Gastric inhibitory polypeptide	P09681	GIP	2695	GIP	HGNC:4270	GIP	ENSG00000159224	GIP	protein_coding	17	47035918	47045955	-	48958554	48968596	-
P09683	SCT	Secretin	P09683	SCT	6343	SCT	HGNC:10607	SCT	ENSG00000070031	SCT	protein_coding	11	626313	627173	-	626309	627181	-
P09693	CD3G	T-cell surface glycoprotein CD3 gamma chain	P09693	CD3G	917	CD3G	HGNC:1675	CD3G	ENSG00000160654	CD3G	protein_coding	11	118215059	118224497	+	118344344	118355161	+
P09758	TACSTD2	Tumor-associated calcium signal transducer 2	P09758	TACSTD2	4070	TACSTD2	HGNC:11530	TACSTD2	ENSG00000184292	TACSTD2	protein_coding	1	59041095	59043166	-	58575433	58577252	-
P09769	FGR	Tyrosine-protein kinase Fgr	P09769	FGR	2268	FGR	HGNC:3697	FGR	ENSG00000000938	FGR	protein_coding	1	27938801	27961727	-	27612064	27635185	-
P09871	C1S	Complement C1s subcomponent	P09871	C1S	716	C1S	HGNC:1247	C1S	ENSG00000182326	C1S	protein_coding	12	7096260	7178335	+	6988259	7071032	+
P09874	PARP1	Poly [ADP-ribose] polymerase 1	P09874	PARP1	142	PARP1	HGNC:270	PARP1	ENSG00000143799	PARP1	protein_coding	1	226548392	226595801	-	226360210	226408154	-
P09914	IFIT1	Interferon-induced protein with tetratricopeptide repeats 1	P09914	IFIT1	3434	IFIT1	HGNC:5407	IFIT1	ENSG00000185745	IFIT1	protein_coding	10	91152303	91166244	+	89392546	89406487	+
P09919	CSF3	Granulocyte colony-stimulating factor	P09919	CSF3	1440	CSF3	HGNC:2438	CSF3	ENSG00000108342	CSF3	protein_coding	17	38171614	38174066	+	40015361	40017813	+
P09923	ALPI	Intestinal-type alkaline phosphatase	P09923	ALPI	248	ALPI	HGNC:437	ALPI	ENSG00000163295	ALPI	protein_coding	2	233320833	233324742	+	232456125	232460753	+
P09958	FURIN	Furin	P09958	FURIN	5045	FURIN	HGNC:8568	FURIN	ENSG00000140564	FURIN	protein_coding	15	91411885	91426687	+	90868588	90883564	+
P09960	LTA4H	Leukotriene A-4 hydrolase	P09960	LTA4H	4048	LTA4H	HGNC:6710	LTA4H	ENSG00000111144	LTA4H	protein_coding	12	96394531	96437298	-	96000753	96043520	-
P0C024	NUDT7	Peroxisomal coenzyme A diphosphatase NUDT7	P0C024	NUDT7	283927	NUDT7	HGNC:8054	NUDT7	ENSG00000140876	NUDT7	protein_coding	16	77756389	77776157	+	77722492	77742260	+
P0C0L5	C4B	Complement C4-B	NA	C4B_2	721	C4B	HGNC:1324	C4B_2	ENSG00000224389	C4B_2	protein_coding	6	NA	NA	NA	32014795	32035418	+
P0C671	BNIP5	Protein BNIP5	P0C671	BNIP5	389384	BNIP5	HGNC:33769	BNIP5	ENSG00000189325	BNIP5	protein_coding	6	36283535	36304662	-	36315761	36336888	-
P0C6C1	ANKRD34C	Ankyrin repeat domain-containing protein 34C	P0C6C1	ANKRD34C	390616	ANKRD34C	HGNC:33888	ANKRD34C	ENSG00000235711	ANKRD34C	protein_coding	15	79575146	79590581	+	79282722	79298239	+
P0C7L1	SPINK8	Serine protease inhibitor Kazal-type 8	P0C7L1	SPINK8	646424	SPINK8	HGNC:33160	SPINK8	ENSG00000229453	SPINK8	protein_coding	3	48348336	48369831	-	48306842	48333661	-
P0C7M8	CLEC2L	C-type lectin domain family 2 member L	P0C7M8	CLEC2L	154790	CLEC2L	HGNC:21969	CLEC2L	ENSG00000236279	CLEC2L	protein_coding	7	139208674	139229731	+	139523685	139544985	+
P0C7V9	METTL15P1	Putative methyltransferase-like protein 15P1	NA	NA	NA	NA	NA	NA	ENSG00000174912	NA	NA	3	NA	NA	NA	NA	NA	NA
P0C7W6	CCDC172	Coiled-coil domain-containing protein 172	P0C7W6	CCDC172	374355	CCDC172	HGNC:30524	CCDC172	ENSG00000182645	CCDC172	protein_coding	10	118083940	118139541	+	116324448	116380029	+
P0C862	C1QTNF9	Complement C1q and tumor necrosis factor-related protein 9A	P0C862	C1QTNF9	338872	C1QTNF9	HGNC:28732	C1QTNF9	ENSG00000240654	C1QTNF9	protein_coding	13	24883716	24896669	+	24307166	24322535	+
P0CB38	PABPC4L	Polyadenylate-binding protein 4-like	P0CB38	PABPC4L	132430	PABPC4L	HGNC:31955	PABPC4L	ENSG00000254535	PABPC4L	protein_coding	4	135117489	135122903	-	133871246	134327494	-
P0CB47	UBTFL1	Upstream-binding factor 1-like protein 1	P0CB47	UBTFL1	642623	UBTFL1	HGNC:14533	UBTFL1	ENSG00000255009	UBTFL1	protein_coding	11	89819118	89820299	+	90085950	90087131	+
P0CG20	PRR35	Proline-rich protein 35	P0CG20	PRR35	146325	PRR35	HGNC:14139	PRR35	ENSG00000161992	PRR35	protein_coding	16	610422	615529	+	560394	565529	+
P0CG30	GSTT2B	Glutathione S-transferase theta-2B	P0CG30	GSTT2B	653689	GSTT2B	HGNC:33437	GSTT2B	ENSG00000133433	GSTT2B	protein_coding	22	NA	NA	NA	23957414	23961195	-
P0CG32	ZCCHC18	Zinc finger CCHC domain-containing protein 18	P0CG32	ZCCHC18	644353	ZCCHC18	HGNC:32459	ZCCHC18	ENSG00000166707	ZCCHC18	protein_coding	X	103357107	103360533	+	104112511	104115842	+
P0CG37	CFC1	Cryptic protein	NA	CFC1	55997	CFC1	HGNC:18292	CFC1	ENSG00000136698	CFC1	protein_coding	2	131349738	131357251	-	130592165	130599575	-
P0CV98	TSPY3	Testis-specific Y-encoded protein 3/10	NA	TSPY3	728137	TSPY3	HGNC:33876	TSPY3	ENSG00000228927	TSPY3	protein_coding	Y	9215731	9368285	+	9398421	9401223	+
P0CW01	TSPY3	Testis-specific Y-encoded protein 3/10	NA	TSPY10	728137	TSPY3	HGNC:37473	TSPY10	ENSG00000236424	TSPY10	protein_coding	Y	9215731	9368285	+	9398421	9401223	+
P0DJD7	PGA4	Pepsin A-4	NA	PGA4	643847	PGA4	HGNC:8886	PGA4	ENSG00000229183	PGA4	protein_coding	11	60989821	60999179	+	61222347	61248533	+
P0DJG4	THEGL	Testicular haploid expressed gene protein-like	NA	SPMAP2L	100506564	SPMAP2L	HGNC:43771	SPMAP2L	ENSG00000249693	SPMAP2L	protein_coding	4	57396775	57469489	+	56530606	56603507	+
P0DKB5	TPBGL	Trophoblast glycoprotein-like	P0DKB5	TPBGL	100507050	TPBGL	HGNC:44159	TPBGL	ENSG00000261594	TPBGL	protein_coding	11	74951950	74954749	+	75240774	75243704	+
P0DKL9	ARL14EPL	ARL14 effector protein-like	P0DKL9	ARL14EPL	644100	ARL14EPL	HGNC:44201	ARL14EPL	ENSG00000268223	ARL14EPL	protein_coding	5	115387163	115394827	+	116032324	116060118	+
P0DMB1	PRR23D2	Proline-rich protein 23D2	NA	PRR23D2	100131608	PRR23D1	HGNC:49396	PRR23D2	ENSG00000255378	PRR23D2	protein_coding	8	NA	NA	NA	7539627	7542450	+
P0DML2	CSH1	Chorionic somatomammotropin hormone 1	NA	CSH1	1442	CSH1	HGNC:2440	CSH1	ENSG00000136488	CSH1	protein_coding	17	61972268	61974021	-	63894909	63896661	-
P0DMP2	SRGAP2B	SLIT-ROBO Rho GTPase-activating protein 2B	P0DMP2	SRGAP2B	647135	SRGAP2B	HGNC:35237	SRGAP2B	ENSG00000196369	SRGAP2B	protein_coding	1	NA	NA	NA	144887265	145095528	-
P0DMU3	F231L	FAM231A/C-like protein LOC102723383	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
P0DMV8	HSPA1A	Heat shock 70 kDa protein 1A	P0DMV8	HSPA1A	3303	HSPA1A	HGNC:5232	HSPA1A	ENSG00000204389	HSPA1A	protein_coding	6	31783291	31785719	+	31815543	31817942	+
P0DN86	CGB3	Choriogonadotropin subunit beta 3	NA	CGB8	93659	CGB5	HGNC:16452	CGB8	ENSG00000213030	CGB8	protein_coding	19	49547102	49548568	+	49043848	49045311	+
P0DOY2	IGLC2	Immunoglobulin lambda constant 2	NA	NA	NA	NA	NA	NA	ENSG00000211677	NA	NA	22	NA	NA	NA	NA	NA	NA
P0DPH9	CXorf51B	Uncharacterized protein CXorf51B	P0DPH9	CXorf51B	100133053	CXorf51B	HGNC:42787	CXorf51B	ENSG00000235699	CXorf51B	protein_coding	X	145891302	145891929	+	146809771	146810411	+
P0DPI2	GATD3	Glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial	P0DPI2	GATD3	8209	GATD3	HGNC:1273	GATD3	ENSG00000160221	GATD3	protein_coding	21	45553494	45565605	+	44133610	44203064	+
P0DTE7	AMY1	Alpha-amylase 1/2	NA	AMY1B	277	AMY1B	HGNC:475	AMY1B	NA	AMY1B	protein_coding	1	NA	NA	NA	103687415	103696454	-
P0DTE8	AMY1	Alpha-amylase 1/2	NA	AMY1C	278	AMY1C	HGNC:476	AMY1C	NA	AMY1C	protein_coding	1	NA	NA	NA	103745323	103758726	+
P0DUB6	AMY1	Alpha-amylase 1/2	NA	AMY1A	276	AMY1A	HGNC:474	AMY1A	NA	AMY1A	protein_coding	1	104198141	104301311	+	103655760	103664554	+
P10070	GLI2	Zinc finger protein GLI2	P10070	GLI2	2736	GLI2	HGNC:4318	GLI2	ENSG00000074047	GLI2	protein_coding	2	121493199	121750229	+	120735623	120992653	+
P10074	ZBTB48	Telomere zinc finger-associated protein	P10074	ZBTB48	3104	ZBTB48	HGNC:4930	ZBTB48	ENSG00000204859	ZBTB48	protein_coding	1	6640056	6649340	+	6579994	6589280	+
P10082	PYY	Peptide YY	P10082	PYY	5697	PYY	HGNC:9748	PYY	ENSG00000131096	PYY	protein_coding	17	42030107	42081837	-	43952733	44004469	-
P10092	CALCB	Calcitonin gene-related peptide 2	P10092	CALCB	797	CALCB	HGNC:1438	CALCB	ENSG00000175868	CALCB	protein_coding	11	15095146	15103888	+	14904997	15082342	+
P10109	FDX1	Adrenodoxin, mitochondrial	P10109	FDX1	2230	FDX1	HGNC:3638	FDX1	ENSG00000137714	FDX1	protein_coding	11	110300661	110335608	+	110429948	110464884	+
P10144	GZMB	Granzyme B	P10144	GZMB	3002	GZMB	HGNC:4709	GZMB	ENSG00000100453	GZMB	protein_coding	14	25100161	25103432	-	24630954	24634267	-
P10145	CXCL8	Interleukin-8	P10145	CXCL8	3576	CXCL8	HGNC:6025	CXCL8	ENSG00000169429	CXCL8	protein_coding	4	74606223	74609433	+	73740519	73743716	+
P10147	CCL3	C-C motif chemokine 3	P10147	CCL3	6348	CCL3	HGNC:10627	CCL3	ENSG00000277632	CCL3	protein_coding	17	34415603	34417506	-	36088256	36090169	-
P10301	RRAS	Ras-related protein R-Ras	P10301	RRAS	6237	RRAS	HGNC:10447	RRAS	ENSG00000126458	RRAS	protein_coding	19	50138552	50143400	-	49635292	49640143	-
P10398	ARAF	Serine/threonine-protein kinase A-Raf	P10398	ARAF	369	ARAF	HGNC:646	ARAF	ENSG00000078061	ARAF	protein_coding	X	47420499	47431320	+	47561205	47571908	+
P10415	BCL2	Apoptosis regulator Bcl-2	P10415	BCL2	596	BCL2	HGNC:990	BCL2	ENSG00000171791	BCL2	protein_coding	18	60790579	60986657	-	63123346	63320128	-
P10451	SPP1	Osteopontin	P10451	SPP1	6696	SPP1	HGNC:11255	SPP1	ENSG00000118785	SPP1	protein_coding	4	88896802	88904563	+	87975667	87983532	+
P10523	SAG	S-arrestin	P10523	SAG	6295	SAG	HGNC:10521	SAG	ENSG00000130561	SAG	protein_coding	2	234216309	234255701	+	233307816	233347055	+
P10586	PTPRF	Receptor-type tyrosine-protein phosphatase F	P10586	PTPRF	5792	PTPRF	HGNC:9670	PTPRF	ENSG00000142949	PTPRF	protein_coding	1	43996547	44089343	+	43525187	43623666	+
P10599	TXN	Thioredoxin	P10599	TXN	7295	TXN	HGNC:12435	TXN	ENSG00000136810	TXN	protein_coding	9	113006092	113018920	-	110243810	110256507	-
P10606	COX5B	Cytochrome c oxidase subunit 5B, mitochondrial	P10606	COX5B	1329	COX5B	HGNC:2269	COX5B	ENSG00000135940	COX5B	protein_coding	2	98262521	98264657	+	97646062	97648383	+
P10619	CTSA	Lysosomal protective protein	P10619	CTSA	5476	CTSA	HGNC:9251	CTSA	ENSG00000064601	CTSA	protein_coding	20	44519591	44527458	+	45890144	45898949	+
P10636	pTau217	Microtubule-associated protein tau	NA	MAPT	4137	MAPT	HGNC:6893	MAPT	ENSG00000186868	MAPT	protein_coding	17	43971748	44105699	+	45894527	46028334	+
P10643	C7	Complement component C7	P10643	C7	730	C7	HGNC:1346	C7	ENSG00000112936	C7	protein_coding	5	40909599	40983042	+	40909492	41020216	+
P10644	PRKAR1A	cAMP-dependent protein kinase type I-alpha regulatory subunit	P10644	PRKAR1A	5573	PRKAR1A	HGNC:9388	PRKAR1A	ENSG00000108946	PRKAR1A	protein_coding	17	66507921	66547457	+	68413623	68551319	+
P10645	CHGA	Chromogranin-A	P10645	CHGA	1113	CHGA	HGNC:1929	CHGA	ENSG00000100604	CHGA	protein_coding	14	93389445	93401638	+	92923150	92935285	+
P10646	TFPI	Tissue factor pathway inhibitor	P10646	TFPI	7035	TFPI	HGNC:11760	TFPI	ENSG00000003436	TFPI	protein_coding	2	188328958	188419219	-	187464230	187565760	-
P10696	ALPG	Alkaline phosphatase, germ cell type	P10696	ALPG	251	ALPG	HGNC:441	ALPG	ENSG00000163286	ALPG	protein_coding	2	233271552	233275424	+	232406844	232410714	+
P10721	KIT	Mast/stem cell growth factor receptor Kit	P10721	KIT	3815	KIT	HGNC:6342	KIT	ENSG00000157404	KIT	protein_coding	4	55524095	55606881	+	54657267	54740783	+
P10746	UROS	Uroporphyrinogen-III synthase	P10746	UROS	7390	UROS	HGNC:12592	UROS	ENSG00000188690	UROS	protein_coding	10	127477147	127511837	-	125784980	125823288	-
P10747	CD28	T-cell-specific surface glycoprotein CD28	P10747	CD28	940	CD28	HGNC:1653	CD28	ENSG00000178562	CD28	protein_coding	2	204571198	204603636	+	203706475	203738912	+
P10767	FGF6	Fibroblast growth factor 6	P10767	FGF6	2251	FGF6	HGNC:3684	FGF6	ENSG00000111241	FGF6	protein_coding	12	4543308	4554780	-	4428156	4445815	-
P10909	CLU	Clusterin	P10909	CLU	1191	CLU	HGNC:2095	CLU	ENSG00000120885	CLU	protein_coding	8	27454434	27472328	-	27596917	27614700	-
P10912	GHR	Growth hormone receptor	P10912	GHR	2690	GHR	HGNC:4263	GHR	ENSG00000112964	GHR	protein_coding	5	42423877	42721980	+	42423439	42721878	+
P11049	CD37	Leukocyte antigen CD37	P11049	CD37	951	CD37	HGNC:1666	CD37	ENSG00000104894	CD37	protein_coding	19	49838428	49843861	+	49335171	49340606	+
P11137	MAP2	Microtubule-associated protein 2	P11137	MAP2	4133	MAP2	HGNC:6839	MAP2	ENSG00000078018	MAP2	protein_coding	2	210288771	210598834	+	209424047	209734147	+
P11215	ITGAM	Integrin alpha-M	P11215	ITGAM	3684	ITGAM	HGNC:6149	ITGAM	ENSG00000169896	ITGAM	protein_coding	16	31271288	31344213	+	31259967	31332892	+
P11226	MBL2	Mannose-binding protein C	P11226	MBL2	4153	MBL2	HGNC:6922	MBL2	ENSG00000165471	MBL2	protein_coding	10	54525140	54531460	-	52765380	52772784	-
P11229	CHRM1	Muscarinic acetylcholine receptor M1	P11229	CHRM1	1128	CHRM1	HGNC:1950	CHRM1	ENSG00000168539	CHRM1	protein_coding	11	62676151	62689012	-	62908679	62921807	-
P11234	RALB	Ras-related protein Ral-B	P11234	RALB	5899	RALB	HGNC:9840	RALB	ENSG00000144118	RALB	protein_coding	2	120997640	121052286	+	120240064	120294710	+
P11274	BCR	Breakpoint cluster region protein	P11274	BCR	613	BCR	HGNC:1014	BCR	ENSG00000186716	BCR	protein_coding	22	23522552	23660224	+	23179704	23318037	+
P11279	LAMP1	Lysosome-associated membrane glycoprotein 1	P11279	LAMP1	3916	LAMP1	HGNC:6499	LAMP1	ENSG00000185896	LAMP1	protein_coding	13	113951469	113977741	+	113297239	113323672	+
P11308	ERG	Transcriptional regulator ERG	P11308	ERG	2078	ERG	HGNC:3446	ERG	ENSG00000157554	ERG	protein_coding	21	39739183	40033704	-	38380027	38661780	-
P11310	ACADM	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	P11310	ACADM	34	ACADM	HGNC:89	ACADM	ENSG00000117054	ACADM	protein_coding	1	76190043	76229355	+	75724431	75763720	+
P11387	TOP1	DNA topoisomerase 1	P11387	TOP1	7150	TOP1	HGNC:11986	TOP1	ENSG00000198900	TOP1	protein_coding	20	39657462	39753126	+	41028822	41124487	+
P11441	UBL4A	Ubiquitin-like protein 4A	P11441	UBL4A	8266	UBL4A	HGNC:12505	UBL4A	ENSG00000102178	UBL4A	protein_coding	X	153712056	153714932	-	154483717	154486615	-
P11464	PSG1	Pregnancy-specific beta-1-glycoprotein 1	NA	PSG1	5669	PSG1	HGNC:9514	PSG1	ENSG00000231924	PSG1	protein_coding	19	43233275	43383871	-	42866464	42879822	-
P11487	FGF3	Fibroblast growth factor 3	P11487	FGF3	2248	FGF3	HGNC:3681	FGF3	ENSG00000186895	FGF3	protein_coding	11	69624736	69634192	-	69809968	69819416	-
P11532	DMD	Dystrophin	P11532	DMD	1756	DMD	HGNC:2928	DMD	ENSG00000198947	DMD	protein_coding	X	31137345	33357726	-	31097677	33339609	-
P11586	MTHFD1	C-1-tetrahydrofolate synthase, cytoplasmic	P11586	MTHFD1	4522	MTHFD1	HGNC:7432	MTHFD1	ENSG00000100714	MTHFD1	protein_coding	14	64854759	64926725	+	64388031	64463457	+
P11684	SCGB1A1	Uteroglobin	P11684	SCGB1A1	7356	SCGB1A1	HGNC:12523	SCGB1A1	ENSG00000149021	SCGB1A1	protein_coding	11	62186507	62190678	+	62405103	62423195	+
P11717	IGF2R	Cation-independent mannose-6-phosphate receptor	P11717	IGF2R	3482	IGF2R	HGNC:5467	IGF2R	ENSG00000197081	IGF2R	protein_coding	6	160390131	160527583	+	159969082	160113507	+
P11801	PSKH1	Serine/threonine-protein kinase H1	P11801	PSKH1	5681	PSKH1	HGNC:9529	PSKH1	ENSG00000159792	PSKH1	protein_coding	16	67927175	67963581	+	67893254	67929676	+
P11836	MS4A1	B-lymphocyte antigen CD20	P11836	MS4A1	931	MS4A1	HGNC:7315	MS4A1	ENSG00000156738	MS4A1	protein_coding	11	60223282	60238225	+	60455846	60470752	+
P11912	CD79A	B-cell antigen receptor complex-associated protein alpha chain	P11912	CD79A	973	CD79A	HGNC:1698	CD79A	ENSG00000105369	CD79A	protein_coding	19	42381190	42385439	+	41877279	41881372	+
P11926	ODC1	Ornithine decarboxylase	P11926	ODC1	4953	ODC1	HGNC:8109	ODC1	ENSG00000115758	ODC1	protein_coding	2	10580508	10588453	-	10439968	10448327	-
P12004	PCNA	Proliferating cell nuclear antigen	P12004	PCNA	5111	PCNA	HGNC:8729	PCNA	ENSG00000132646	PCNA	protein_coding	20	5095599	5107268	-	5114953	5126626	-
P12034	FGF5	Fibroblast growth factor 5	P12034	FGF5	2250	FGF5	HGNC:3683	FGF5	ENSG00000138675	FGF5	protein_coding	4	81187742	81212171	+	80266639	80336680	+
